更新日期,梗的名称,热度,梗的简单解释,环比昨天热度变化,梗的来源
2025-05-24,IG EDG,4844281.0,形容两队比赛激烈，源于IG和EDG战队对决。,0,B站热搜
2025-05-24,UP主破防将起诉小米,4684327.0,UP主因情绪崩溃，夸张表示要起诉小米。,0,B站热搜
2025-05-24,JOJO结局爆改全员存活,4604051.0,JOJO替换悲剧结局，角色全活，网友创意改编。,0,B站热搜
2025-05-24,ShowMaker阿狸杀疯,4460170.0,ShowMaker选阿狸表现出色，击杀众多敌人。,0,B站热搜
2025-05-24,唐国强再次扮演丞相,4386210.0,唐国强常演历史角色，调侃其适合权谋类角色。,0,B站热搜
2025-05-24,单依纯把马嘉祺调成啥了,793373.0,指两人合唱时音色互补效果好。,0,微博热搜
2025-05-24,谍报上不封顶,463673.0,形容信息量巨大，常用于调侃或夸张场景。,0,微博热搜
2025-05-24,特朗普杀疯了,405143.0,形容特朗普言行夸张，做事极端，引发热议。,0,微博热搜
2025-05-24,郝蕾 不红就是原罪红了什么都对,398910.0,不红时被批评，红了就受认可。,0,微博热搜
2025-05-24,王楚钦若夺冠仍无法重返世一,215913.0,王楚钦夺冠也不被认为是世界第一。,0,微博热搜
2025-05-24,易烊千玺怎么能争气成这样,207805.0,赞美易烊千玺成就高，表现优异。,0,微博热搜
2025-05-24,人在icu被写欠条真正借款人找到了,189013.0,指事情真相水落石出，责任人被找到。,0,微博热搜
2025-05-24,女生洗头的精密推理逻辑是什么,174046.0,调侃女生洗头前复杂的时间安排。,0,微博热搜
2025-05-25,Leave泽丽五杀燃尽,4764564.0,形容泽丽过于强势，比赛中轻松获胜。,0,B站热搜
2025-05-25,今天是苏大强70岁生日,4444439.0,电视剧角色苏大强生日，网友用来调侃父母角色。,0,B站热搜
2025-05-25,喜羊羊27岁了,4210561.0,动画角色喜羊羊已27岁，引发怀旧情感。,0,B站热搜
2025-05-25,Angelababy眼睫碎钻,857792.0,Angelababy眼睫毛上贴钻，网友调侃为碎钻。,0,微博热搜
2025-05-25,杨颖好权威的一张脸,599480.0,杨颖面无表情，显得很有权威感。,0,微博热搜
2025-05-25,赵丽颖犹豫半天比了个苹果,374691.0,赵丽颖拍广告犹豫后比出苹果手势，显可爱。,0,微博热搜
2025-05-25,平津侯 渣男,218711.0,形容表面正派实则滥情的男人。来源于小说角色。,0,微博热搜
